cue,response,kindergarten,first,third,fifth
run,away,4,,,
run,boy,5,,,
run,fall,6,,,
run,fast,18,,,
run,feet,4,,,
run,fun,9,,,
run,house,5,,,
run,play,11,,,
run,skip,12,,,
run,stop,6,,,
run,walk,13,,,
sad,bad,4,,,
sad,cry,16,,,
sad,crying,11,,,
sad,face,4,,,
sad,glad,5,,,
sad,happy,26,,,
sad,mad,9,,,
sad,people,6,,,
sad,sand,5,,,
salt,egg,4,,,
salt,food,6,,,
salt,malt,4,,,
salt,pepper,74,,,
salt,water,9,,,
seldom,food,4,,,
seldom,sell,11,,,
sell,cellar,4,,,
sell,clothes,4,,,
sell,food,15,,,
sell,fruit,4,,,
she,a girl,4,,,
she,girl,23,,,
she,he,19,,,
she,her,4,,,
she,him,8,,,
she,sheep,15,,,
sheep,dog,12,,,
sheep,horse,7,,,
sheep,lamb,15,,,
sheep,sheet,5,,,
sheep,white,7,,,
sheep,wool,18,,,
short,baby,5,,,
short,big,4,,,
short,cut,4,,,
short,dress,4,,,
short,hair,4,,,
short,long,14,,,
short,pants,26,,,
short,shorts,5,,,
short,tall,7,,,
since,I,6,,,
since,we,4,,,
sit,chair,30,,,
sit,down,59,,,
sit,in a chair,4,,,
sit,on a chair,4,,,
slow,bow,4,,,
slow,car,4,,,
slow,down,4,,,
slow,fast,36,,,
slow,go,4,,,
slow,poke,10,,,
slow,stop,4,,,
slow,walk,12,,,
slow,walking,8,,,
slowly,fast,21,,,
slowly,fastly,4,,,
slowly,quiet,4,,,
slowly,run,5,,,
slowly,turtle,5,,,
slowly,walk,17,,,
slowly,walking,6,,,
smooth,baby,6,,,
smooth,blanket,4,,,
smooth,cement,4,,,
smooth,flat,4,,,
smooth,hard,9,,,
smooth,road,8,,,
smooth,soft,8,,,
sometimes,I,9,,,
sometimes,paper,4,,,
sometimes,play,4,,,
sometimes,sun,6,,,
sour,drink,4,,,
sour,juice,7,,,
sour,kraut,19,,,
sour,lemon,10,,,
sour,milk,11,,,
sour,orange,6,,,
sour,puss,5,,,
square,ball,5,,,
square,bear,5,,,
square,block,9,,,
square,box,14,,,
square,circle,9,,,
square,hair,7,,,
square,rectangle,4,,,
square,round,8,,,
square,tear,4,,,
square,triangle,21,,,
swift,broom,4,,,
swift,cheese,6,,,
swift,lift,5,,,
swift,sweep,8,,,
swift,swim,4,,,
swift,wind,6,,,
table,chair,65,,,
table,chairs,4,,,
table,cloth,4,,,
table,eat,11,,,
table,food,13,,,
table,Mabel,5,,,
table,sit,7,,,
tall,ball,4,,,
tall,big,12,,,
tall,giant,10,,,
tall,house,4,,,
tall,little,6,,,
tall,low,5,,,
tall,man,18,,,
tall,people,5,,,
tall,short,7,,,
tall,small,23,,,
tell,a secret,4,,,
tell,me,13,,,
tell,mell,4,,,
tell,people,4,,,
tell,secret,8,,,
tell,show and tell,4,,,
tell,story,5,,,
tell,tattletale,8,,,
them,him,6,,,
them,people,10,,,
them,stem,4,,,
they,are,10,,,
they,day,4,,,
they,hay,6,,,
they,people,6,,,
they,play,4,,,
they,went,6,,,
thirsty,drink,44,,,
thirsty,drink of water,4,,,
thirsty,get a drink,4,,,
thirsty,glass,4,,,
thirsty,I want a drink of water,4,,,
thirsty,I'm thirsty,4,,,
thirsty,water,46,,,
up,airplane,5,,,
up,baby,4,,,
up,down,44,,,
up,high,4,,,
up,hill,5,,,
up,sky,9,,,
up,stairs,5,,,
us,bus,14,,,
us,me,11,,,
us,people,17,,,
us,them,4,,,
us,together,4,,,
us,we,8,,,
us,you,5,,,
usually,house,4,,,
usually,sometimes,4,,,
usually,use,4,,,
wild,animal,36,,,
wild,animals,11,,,
wild,bird,4,,,
wild,bull,6,,,
wild,cat,7,,,
wild,horse,15,,,
wild,lion,11,,,
wild,tiger,9,,,
wing,bird,42,,,
wing,butterfly,4,,,
wing,fly,25,,,
wing,plane,5,,,
wing,sing,5,,,
wing,swing,5,,,
yellow,blue,9,,,
yellow,brown,4,,,
yellow,color,8,,,
yellow,crayon,16,,,
yellow,flower,4,,,
yellow,green,15,,,
yellow,orange,11,,,
yellow,pillow,4,,,
yellow,red,13,,,
yellow,sun,16,,,
yellow,white,5,,,
add,and,,5,,
add,arithmetic,,4,4,16
add,can,,4,,
add,mad,,4,,
add,multiply,,,,12
add,number,,,5,
add,numbers,,10,9,7
add,one,,6,,
add,paper,,5,,
add,pencil,,5,,
add,plus,,,6,
add,problem,,,5,
add,put together,,,,7
add,something,,7,,
add,subtract,,5,183,151
add,subtraction,,,,4
add,sum,,,,4
add,take away,,,7,6
allow,able,,,,7
allow,allowance,,5,,
allow,allowed,,,5,
allow,alone,,,4,
allow,cow,,,4,
allow,can,,,10,13
allow,do,,,,6
allow,don't,,,5,
allow,loud,,11,5,6
allow,him,,,5,
allow,let,,,14,43
allow,go,,,,4
allow,me,,7,9,
allow,may,,,4,
allow,no,,4,4,4
allow,noise,,,,4
allow,not,,6,11,9
allow,not allow,,6,17,10
allow,not allowed,,,5,
allow,obey,,,5,6
allow,people,,4,,
allow,permission,,,4,11
allow,permit,,,,5
allow,quiet,,6,,4
allow,soft,,6,5,6
allow,softly,,,6,4
allow,to  ,,7,4,
allow,to do,,,,6
allow,you,,5,6,
always,after,,,4,
always,again,,,6,5
always,all,,4,6,
always,all the time,,,12,20
always,away,,,6,
always,because ,,,5,
always,come ,,4,,
always,do ,,6,4,
always,go,,7,,
always,forever,,,,18
always,never,,10,46,76
always,not,,,8,
always,not always,,11,12,6
always,now,,,4,
always,often,,,4,
always,play,,4,,
always,remember,,,6,
always,right,,,,4
always,sometimes,,5,26,22
always,together,,,6,5
always,ways,,,,6
because,be,,,8,
because,answer,,,,5
because,became,,,,5
because,begin ,,,4,
because,cant,,,,6
because,cause,,,7,28
because,excuse,,,,9
because,for ,,,,4
because,happen,,,,4
because,he,,7,13,4
because,I,,10,5,
because,it,,,6,
because,no,,6,6,
because,not,,,5,5
because,not because,,,8,4
because,reason,,,,31
because,she,,,4,
because,sit in chair,,,7,
because,someone,,,15,
because,sometimes,,,4,
because,telephone,,,,5
because,they,,,9,
because,why,,58,31,35
because,yes,,,4,
because,you,,7,11,
bee,a,,4,,
bee,animal,,,6,8
bee,be,,,4,10
bee,big,,4,,
bee,bug,,,23,32
bee,bumble,,6,,7
bee,bumblebee,,6,,
bee,butterly,,5,11,
bee,buzz,,5,9,6
bee,cause,,4,,
bee,flower,,,4,
bee,fly,,12,27,9
bee,good,,12,,
bee,he,,,7,4
bee,hive,,,6,8
bee,honey,,5,7,16
bee,insect,,,22,46
bee,me,,8,4,
bee,oh,,4,,
bee,see,,6,5,
bee,sting,,16,43,58
bee,wasp,,4,,
begin,after,,,10,5
begin,began,,,11,12
begin,beginning,,,,4
begin,come ,,4,,
begin,end,,9,50,51
begin,finish,,,12,7
begin,finished,,,4,
begin,here,,7,,
begin,last,,5,,
begin,something,,6,,
begin,now,,6,,
begin,start,,10,68,139
begin,started,,4,,
begin,stop,,7,4,17
begin,to,,,4,
begin,with,,5,,
begin,work ,,10,4,
belong,club,,,6,5
belong,have,,,5,4
belong,here,,17,,
belong,his,,,,6
belong,home,,8,,
belong,house,,7,,
belong,in ,,6,,
belong,in the house,,4,,
belong,join,,,,19
belong,lawn,,4,,
belong,long,,9,4,9
belong,me,,9,10,6
belong,mine,,,7,25
belong,not belong,,6,8,
belong,own,,,12,26
belong,place,,,4,
belong,short,,7,4,
belong,someone,,,6,
belong,theirs,,,4,4
belong,them,,,4,
belong,to,,11,30,20
belong,to me ,,6,5,
belong,together,,,4,8
belong,you,,4,6,
belong,yours,,,7,16
between,after,,6,4,
between,be,,,4,
between,behind,,,5,
between,beside,,,7,
between,blue,,4,,
between,end,,,4,
between,center,,,,5
between,in,,,6,12
between,in between,,,,4
between,in the middle,,4,14,12
between,inbetween,,,4,
between,inside,,,7,14
between,me,,10,14,
between,meals ,,8,,
between,middle,,15,56,98
between,outside,,,5,4
between,together,,5,13,13
between,two,,6,4,
between,under,,,11,4
between,us,,5,,
between,you,,9,7,
bird,animal,,25,41,
bird,blue,,4,,4
bird,cardinal,,,,6
bird,cat,,,12,15
bird,dog,,,12,6
bird,eagle,,,5,5
bird,feathers,,,,4
bird,flicker,,4,,
bird,fly,,104,98,62
bird,flying,,6,,5
bird,nest,,17,11,7
bird,pretty,,,4,
bird,robin,,,9,26
bird,sing,,8,7,7
bird,tree,,5,,5
bird,wing,,7,12,5
bird,wings,,,5,5
bitter,awful,,,,8
bitter,bad,,5,9,8
bitter,better,,7,13,
bitter,bit,,14,11,4
bitter,bite,,7,7,
bitter,butter  ,,19,7,4
bitter,cat,,4,,
bitter,cold,,8,9,19
bitter,door,,4,,
bitter,good,,7,8,6
bitter,hard,,,6,8
bitter,litter,,6,6,
bitter,sour,,11,59,83
bitter,sweet,,17,52,61
bitter,taste,,,10,5
bitter,terrible,,,,4
black,blue,,27,16,7
black,brown,,20,5,5
black,cat,,16,11,10
black,color,,6,23,51
black,crayon,,12,,4
black,dark,,12,21,20
black,dog,,4,,
black,green,,7,,
black,hack,,4,,
black,night,,,,5
black,orange,,4,,
black,red,,5,10,10
black,white,,34,139,127
black,yellow,,6,11,4
bright,brilliant,,,,4
bright,color,,,5,11
bright,colorful,,,,5
bright,dark,,36,86,64
bright,dim,,,,8
bright,dull,,,6,12
bright,early,,,6,
bright,kite,,4,,
bright,light,,37,69,54
bright,might,,5,,
bright,morning,,7,4,
bright,real bright,,,,6
bright,right,,6,,
bright,shine,,,,5
bright,shiny,,,11,5
bright,smart,,,5,16
bright,sun,,42,20,16
bright,sunny,,5,,
bug,animal,,,15,11
bug,ant,,6,7,13
bug,bee,,14,23,6
bug,beetle,,,9,14
bug,butterfly,,9,,5
bug,cat,,4,,
bug,crawl,,6,,
bug,fly,,33,36,21
bug,horse,,4,,
bug,hug,,4,,
bug,insect,,34,119,141
bug,insects,,,6,
bug,little,,5,,
bug,me,,4,,
bug,mosquito,,,6,5
bug,rug,,,,4
bug,spider,,13,5,4
bug,worm,,,,4
butterfly,animal,,,21,19
butterfly,bee,,10,4,
butterfly,bird,,11,21,12
butterfly,bug,,4,21,22
butterfly,butter,,22,12,4
butterfly,catch,,6,,
butterfly,caterpillar,,,11,4
butterfly,cocoon,,,4,11
butterfly,flies,,7,,
butterfly,flower,,,5,
butterfly,fly,,61,56,23
butterfly,insect,,4,38,83
butterfly,moth,,8,11,19
butterfly,net,,4,5,5
butterfly,pretty,,,11,11
butterfly,wing,,6,5,6
butterfly,wings,,9,5,6
butterfly,yellow,,,4,6
carry,baby,,28,14,5
carry,bag,,6,,
carry,bring,,,10,4
carry,carriage,,11,,
carry,carried,,,4,
carry,carrot,,15,,
carry,don't carry,,,4,
carry,down,,,,4
carry,drag,,,5,5
carry,drop,,,21,18
carry,heavy,,9,16,17
carry,hold,,,29,62
carry,lift,,,8,8
carry,load,,,,5
carry,marry,,6,,
carry,me,,5,5,
carry,not carry,,,5,
carry,on,,,,4
carry,pick up,,,5,
carry,pull,,,4,
carry,something,,5,,
carry,take,,,,12
carry,walk,,,11,16
chair,bear,,9,,
chair,care,,7,,
chair,couch,,5,10,
chair,desk,,9,29,37
chair,furniture,,,6,
chair,hair,,6,,
chair,legs,,,5,
chair,rock,,5,,
chair,seat,,,23,26
chair,sit,,70,83,73
chair,sit down,,8,,
chair,stool,,,11,4
chair,table,,58,53,82
chair,wood,,,,5
clean,broom,,4,,
clean,clear,,,,11
clean,clothes,,8,,
clean,dirt,,,,6
clean,dirty,,29,134,122
clean,dust,,5,,8
clean,floor,,8,,
clean,house,,29,15,5
clean,mean,,6,,
clean,neat,,,,16
clean,nice,,,8,
clean,not clean,,,,11
clean,pretty,,,7,
clean,sanitary,,,,4
clean,soap,,,,5
clean,table,,7,,
clean,the house,,6,,
clean,tidy,,,5,
clean,up,,,4,
clean,vacuum cleaner,,11,,
clean,wash,,11,15,16
clean,white,,,4,
cocoon,animal,,9,40,51
cocoon,bird,,6,9,
cocoon,butterfly,,10,45,37
cocoon,caterpillar,,11,18,24
cocoon,come,,4,,
cocoon,cone,,4,,
cocoon,cook,,4,,
cocoon,cookie,,4,,
cocoon,coon,,8,6,4
cocoon,insect,,,,5
cocoon,moon,,12,,
cocoon,moth,,,4,11
cocoon,nest,,,5,14
cocoon,owl,,4,,
cocoon,racoon,,18,36,12
cocoon,rat,,,4,
cocoon,tree,,6,,
cocoon,worm,,,5,5
cold,chilly,,,5,4
cold,coat,,9,,
cold,freeze,,,5,6
cold,freezing,,4,13,13
cold,hot,,74,139,119
cold,ice,,8,10,8
cold,not warm,,,,4
cold,sneeze,,,4,
cold,snow,,,,4
cold,warm,,27,58,59
cold,water,,9,,
cold,weather,,6,,
cold,wind,,4,,
cold,windy,,4,,
cold,winter,,16,10,13
color,black,,7,26,25
color,blue,,20,37,34
color,bright,,,4,7
color,brown,,7,13,14
color,crayon,,24,17,16
color,crayons,,10,,
color,draw,,,,4
color,gray,,,,4
color,green,,13,16,17
color,orange,,4,4,4
color,paint,,4,,5
color,paper,,7,,
color,picture,,15,4,
color,pictures,,4,,
color,pink,,,6,
color,pretty,,,8,
color,purple,,,5,7
color,red,,34,53,59
color,shade,,,,4
color,white,,4,7,7
color,yellow,,7,19,22
dark,bark,,4,,
dark,bed,,4,,
dark,black,,7,15,25
dark,bright,,,,5
dark,day,,4,4,
dark,dog,,5,,
dark,lark,,4,,
dark,light,,85,185,180
dark,mark,,5,,
dark,moon,,10,,
dark,morning,,8,6,
dark,night,,25,31,28
dark,sleep,,4,,
dark,sun,,9,,
deceive,against,,,,4
deceive,bad,,,4,
deceive,cat,,4,,
deceive,decide,,,7,
deceive,describe,,,4,
deceive,door,,4,,
deceive,get,,,9,7
deceive,give,,,10,7
deceive,good,,5,,
deceive,leave,,6,,
deceive,letter,,5,4,
deceive,me,,4,,
deceive,not,,,,6
deceive,not deceive,,,4,
deceive,receive,,6,26,49
deceive,see,,15,,
deceive,sick,,,5,
deceive,something,,,4,
deceive,talk,,,4,
deceive,boy,,8,,
enjoy,don't enjoy,,5,,
enjoy,fun,,22,38,50
enjoy,glad,,,,4
enjoy,good,,,5,
enjoy,happy,,5,38,45
enjoy,hate,,,,5
enjoy,joy,,,9,13
enjoy,it,,4,,
enjoy,laugh,,,,4
enjoy,like,,5,31,58
enjoy,me,,7,,
enjoy,nice,,,4,
enjoy,not enjoy,,,11,9
enjoy,party,,6,,
enjoy,people,,5,,
enjoy,pleasant,,,4,5
enjoy,pleasure,,,,7
enjoy,sad,,,4,6
examine,check,,,10,27
examine,doctor,,30,31,20
examine,door,,4,,
examine,examination,,,,4
examine,eyes,,16,18,7
examine,look,,,7,33
examine,look at,,,4,7
examine,look over,,,,16
examine,man,,5,,
examine,me,,5,4,
examine,needle,,6,5,
examine,not examine,,,4,
examine,operate,,,18,5
examine,operation,,,8,
examine,test,,,26,48
examine,x-ray,,,13,10
examine,you,,5,,
flower,beautiful,,,,5
flower,bee,,6,,9
flower,bloom,,,6,
flower,blossom,,,6,
flower,bud,,,7,9
flower,bush,,,4,
flower,butterfly,,4,,
flower,daisy,,,6,12
flower,garden,,8,13,8
flower,grass,,15,8,4
flower,grow,,10,,
flower,grows,,4,,
flower,her,,4,,
flower,honey,,4,,
flower,leaf,,10,,
flower,pink,,,10,
flower,plant,,5,25,37
flower,pot,,,9,
flower,pretty,,14,36,29
flower,rain,,4,,
flower,rose,,18,36,46
flower,roses,,,4,
flower,smell,,7,7,7
flower,spring,,,,4
flower,stem,,5,,5
flower,sweet,,,6,4
flower,tree,,7,,
flower,tulip,,,6,4
flower,water,,12,,
flower,weed,,,,4
fly,air,,,6,6
fly,airplane,,7,6,14
fly,bee,,7,8,4
fly,bird,,43,32,30
fly,bug,,11,24,18
fly,butterfly,,18,8,
fly,by,,5,5,
fly,down,,6,8,
fly,fast,,5,5,4
fly,go  ,,,6,
fly,ground,,,5,
fly,high,,11,8,13
fly,insect,,8,16,52
fly,land,,,4,
fly,my,,4,,
fly,plane,,,5,8
fly,run,,,7,
fly,sky,,,,5
fly,slow,,6,,
fly,walk,,7,48,44
fly ,wing,,4,,5
fly,wings,,6,5,8
fruit,apple,,30,65,92
fruit,banana,,12,10,14
fruit,basket,,5,,
fruit,boot,,4,,
fruit,citrus,,,,4
fruit,cocktail,,,,4
fruit,eat,,26,18,13
fruit,food,,5,20,14
fruit,good,,7,9,5
fruit,juice,,6,,
fruit,orange,,14,27,34
fruit,pear,,7,,5
fruit,pineapple,,4,,
fruit,sweet,,,5,
fruit,tree,,,,4
fruit,vegetable,,8,47,43
fruit,vegetables,,11,15,4
gallop,away,,,4,
gallop,fast,,7,12,11
gallop,galloping,,,4,
gallop,go,,,5,5
gallop,hop,,,9,8
gallop,horse,,124,79,76
gallop,horses,,4,,
gallop,horsie,,11,,
gallop,pony,,4,,
gallop,ride,,8,23,24
gallop,run,,5,32,33
gallop,skip,,,4,
gallop,trot,,,31,60
gallop,walk,,,13,5
gently,baby,,9,,
gently,careful,,,4,
gently,cat,,4,,
gently,easy,,,5,9
gently,gentle,,,4,4
gently,good,,6,,
gently,hard,,18,27,21
gently,jet,,6,4,
gently,kind,,5,17,10
gently,nice,,8,11,5
gently,nicely,,,4,
gently,pet,,5,,
gently,quiet,,,4,
gently,rough,,,9,13
gently,smooth,,,9,6
gently,soft,,17,65,91
gently,softly,,7,27,27
gently,touch,,,,7
gently,walk,,4,,
give,away,,4,8,8
give,back,,4,,
give,gave,,,54,23
give,here,,6,4,
give,it,,4,,
give,keep,,,6,
give,me,,14,9,4
give,money,,4,,4
give,not give,,4,,
give,present,,12,4,5
give,presents,,4,,
give,receive,,,9,23
give,something,,8,8,4
give,take,,6,56,99
give,thank you,,4,,
give,the,,5,,
give,them,,,7,
give,to,,4,,
give,up,,4,,
give,you,,10,,
hand,arm,,13,52,57
hand,band,,5,,4
hand,body,,,7,7
hand,can,,5,,
hand,chicken,,5,,
hand,face,,,6,
hand,feet,,4,8,9
hand,finger,,12,20,24
hand,fingers,,19,24,37
hand,foot,,13,17,27
hand,give,,,5,7
hand,head,,6,16,5
hand,hen,,4,,
hand,hold,,,4,
hand,man,,9,,
hand,mand,,5,,
hand,palm,,,4,7
hand,shake,,7,,
